# id|speaker|text
request|에른 · 죽어가는 감염자|약제소에… 마지막 한 병이 남아 있어. 부디 가져다줘.
request|에른|낫게 해 달라는 게 아니야. 잠깐만… 나로 있게 해 줘.
request|마지막 이름|동쪽 약제소의 붉은 등불을 찾아가자. 성혈이 아직 남아 있을지도 모른다.
request_have|에른 · 죽어가는 감염자|그 병… 아직 온기가 남아 있구나. 부탁이야.
request_have|에른|낫게 해 달라는 게 아니야. 잠깐만… 나로 있게 해 줘.
request_have|마지막 이름|성혈을 이미 가지고 있다. 다시 말을 걸어 건네줄 수 있다.
remind|에른|무너진 돌길을 따라… 붉은 등불 아래의 약제소로 가 줘.
blood|마지막 성혈|차가운 폐허 속에서도 병은 따뜻하다. 유리 너머의 무언가가 빛을 피해 접힌다.
blood|마지막 이름|성혈을 얻었다. 광장의 감염자에게 돌아가자.
empty|약제함|텅 빈 약제함. 바닥에 말라붙은 붉은 자국만 남아 있다.
administer|성혈을 건네다|가쁜 호흡이 가라앉는다. 동시에 손등을 뚫고 창백한 뿌리가 솟아난다.
administer|에른|숨은 돌아왔는데… 안에서 다른 것이 깨어나.
administer|에른|성도로 가. 그들은 아직도 이것을 기적이라 불러. 떠나기 전에…
remember|에른|에른. 내 이름은 에른이야. 그것만은… 잊지 말아 줘.
remember|이름의 잔향|그의 입술이 멎는다. 멀리 떨어진 포자들이 같은 박자로 떨린다.
remember|마지막 이름|순례자의 통행패를 받았다. 그의 이름을 품고 동쪽 성문으로 향하자.
testimony|에른|우리가 듣는 게 아니야. 저쪽에서… 우리를 듣고 있어.
testimony|먼 곳의 응답|아무도 없는 길에서 같은 숨결이 겹친다. 그것이 누구의 기억인지 알 수 없다.
testimony|마지막 이름|순례자의 통행패를 받았다. 증언을 품고 동쪽 성문으로 향하자.
silent|에른|움직임은 멎었지만, 손끝의 뿌리는 여전히 맥동한다.
corpse|식어 버린 손|구겨진 기도문이 쥐어져 있다. ‘부디, 마지막까지 나로 남게 하소서.’
lore0|부서진 교단의 석판|‘성혈 안에서 모두 하나가 되리라.’ 그 아래에는 손톱으로 ‘누가 남는가’라고 새겨져 있다.
lore1|이름 없는 묘역|묘비마다 같은 이름이 덧새겨져 있다. 지워진 이름의 수를 셀 수 없다.
lore2|버려진 운구 수레|운구 기록의 마지막 줄. ‘시신은 열둘. 들려오는 목소리는 열셋.’
